2023-05-19 11:08:53 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-19 11:12:32 ,INFO:, user_input: I hate ghost?, model_prediction: anger, score: 0.77864456
2023-05-19 11:12:41 ,INFO:, user_input: I love ghost?, model_prediction: love, score: 0.98246044
2023-05-19 11:12:51 ,INFO:, user_input: I am hungry?, model_prediction: curiosity, score: 0.7831667
2023-05-19 11:13:02 ,INFO:, user_input: I am tired?, model_prediction: curiosity, score: 0.67104113
2023-05-19 11:13:16 ,INFO:, user_input: Awww that duisguting?, model_prediction: curiosity, score: 0.7082415
2023-05-19 11:57:30 ,INFO:, user_input: Hello friends, model_prediction: neutral, score: 0.93329346
2023-05-19 11:57:39 ,INFO:, user_input: Hello friends, model_prediction: neutral, score: 0.93329346
2023-05-20 09:11:41 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:11:45 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:11:49 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:24:20 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:39:00 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:39:17 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:41:01 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:41:38 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:42:27 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 09:44:26 ,INFO:, user_input: What is the capital of France?, model_prediction: curiosity, score: 0.8137529
2023-05-20 18:55:23 ,INFO:, user_input: What is the capital of France?, model_prediction: anger, score: 0.521565
2023-05-20 22:29:35 ,INFO:, user_input: Peter, model_prediction: neutral, score: 0.9637493
2023-05-20 22:29:44 ,INFO:, user_input: Peterasdasd, model_prediction: neutral, score: 0.96280056
2023-05-20 23:04:27 ,INFO:, user_input: Hello, model_prediction: neutral, score: 0.5337357207094285
2023-05-20 23:04:31 ,INFO:, user_input: Happy, model_prediction: joy, score: 0.6431608711242456
2023-05-20 23:04:43 ,INFO:, user_input: I hate, model_prediction: anger, score: 0.5443001372500446
2023-05-20 23:07:44 ,INFO:, user_input: What is the capital of France?, model_prediction: neutral, score: 0.36087319794582845
2023-05-20 23:08:01 ,INFO:, user_input: I am curious?, model_prediction: curiosity, score: 0.7370019551253273
2023-05-20 23:37:13 ,INFO:, user_input: , model_prediction: neutral, score: 0.3901293738770308
2023-05-20 23:37:13 ,INFO:, user_input: , model_prediction: neutral, score: 0.3901293738770308
2023-05-20 23:37:14 ,INFO:, user_input: , model_prediction: neutral, score: 0.3901293738770308
2023-05-20 23:37:14 ,INFO:, user_input: , model_prediction: neutral, score: 0.3901293738770308
